,american,chinese,cuban,english,french,german,greek,hawaiian,hungarian,indian,irish,italian,japanese,mexican,moroccan,portuguese,spanish,swedish,thai
0, salt, soy sauce, salt, salt, salt, salt, salt, soy sauce, salt, chili, onions, salt, soy sauce, chili, salt, salt, onions, salt, chili
1, garlic cloves, corn starch, ground cumin, flour, onions, onions, olive oil, salt, onions, salt, carrots, grated parmesan cheese, mirin, salt, olive oil, onions, salt, flour, fish sauce
2, olive oil, garlic, onions, onions, flour, pepper, garlic, pineapple, paprika, garam masala, salt, olive oil, sake, flour, ground cumin, olive oil, garlic cloves, onions, garlic
3, black pepper, sesame oil, garlic, butter, garlic, flour, dried oregano, brown sugar, sour cream, onions, cabbage, garlic, sugar, sour cream, onions, garlic, olive oil, beef broth, coconut milk
4, flour, salt, olive oil, pepper, pepper, sauerkraut, feta cheese, pineapple juice, flour, garlic, potatoes,-, scallions, onions, garlic, garlic cloves, garlic, eggs, soy sauce
5,-, water, garlic cloves, milk, olive oil, caraway seeds, feta cheese crumbles,-, pepper, yogurt, water,-, salt, salsa, ground cinnamon, pepper, saffron threads, pepper, lime juice
6,-, sugar, dried oregano,-, butter,-, yogurt,-, water, ground turmeric, flour,-, ginger,-, ground ginger, bay leaves, sausage, milk, green onions
7,-, chili, pepper,-, garlic cloves,-, pepper,-, hungarian paprika, ground cumin, pepper,-, green onions,-, ground coriander, water, pepper, sour cream,-
8,-, green onions, chili,-, carrots,-, red onion,-, garlic cloves, ginger, bay leaves,-, water,-, garlic cloves,-, paprika, ground pork,-
9,-, ginger, cumin,-,-,-, lemon,-, garlic, cumin seed, garlic,-,-,-, preserved lemon,-,olive oil,ground beef,-
