,chinese,french,italian,indian,japanese,moroccan,spanish,thai
0, soy sauce, salt, salt, chili, soy sauce, salt, onions, chili
1, corn starch,-, grated parmesan cheese, salt, mirin, olive oil, salt, fish sauce
2, garlic, flour, olive oil, garam masala, sake, ground cumin, garlic cloves, garlic
3, sesame oil,-, garlic, onions, sugar,-, olive oil, coconut milk
4,-, pepper,-, garlic, scallions, garlic, garlic,-
5, water,-,-, yogurt,-, ground cinnamon, saffron threads, lime juice
6,-, butter,-, ground turmeric,-, ground ginger, sausage,-
7,-,-,-,-, green onions, ground coriander,-,-
8, green onions, carrots,-, ginger,-,-, paprika,-
9,-,-,-, cumin seed,-, preserved lemon,olive oil,-
